,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,Adjusted_Closing_Price,US_Consumer_Sentiment,Average_Hourly_Earning,CPI_Value_Inflation
61,2018-02-01,0,0,-0.04894052103040171,0.00570480011439206,-0.07671746632416487,-0.1024442216632582,0.30349267388519185,-0.029077110209384915,-0.008550695538422526
62,2018-03-01,0,0,-0.022869402350655016,0.051343201029528544,0.03227409471936288,-0.06796081480770433,0.1289843864012068,0.02616939918844602,-0.02190383651623795
63,2018-04-01,0,0,0.12898342925769424,0.10268640205905694,-0.000488507992724263,0.006688029746701463,-0.19727023802537547,-0.017446266125630383,0.016749992630063326
64,2018-05-01,0,0,0.12166522050548445,0.005704800114392061,0.336875111783146,0.05329931227106394,-0.06069853477703813,0.005815422041876794,0.0019522135932479312
65,2018-06-01,0,0,-0.1536823837964016,0.06845760137270473,0.1951318037607001,0.012202394106098136,0.015174633694259976,-0.0029077110209388413,-0.025027378265432165
66,2018-07-01,0,0,0.19210297974550214,0.05134320102952841,0.02343752791762635,0.09121056724191895,-0.022761950541389186,-0.002907711020937953,-0.014993000396141154
67,2018-08-01,0,0,-0.19942118849771157,0.0,0.08375198141940515,0.07939008012692758,-0.1289843864012069,0.017446266125630383,0.004802445439388403
68,2018-09-01,0,0,0.041164924231178936,0.022819200457568245,0.026857083866702075,0.011606246607785059,0.29590535703806153,0.0029077110209388968,0.005973773595338017
69,2018-10-01,0,0,0.07501163971014876,0.1369152027454093,0.08161340198458694,-0.18838260946696994,-0.11380975270694704,-0.020353977146569224,0.0059737735953369064
70,2018-11-01,0,0,-0.4358908088034847,0.005704800114392172,0.14521714263737867,0.04511159897391909,-0.08346048531842731,0.005815422041876739,-0.05048424352137865
71,2018-12-01,0,0,-0.36682521370450605,0.03993360080074432,0.004700532463331741,-0.23596263167609183,0.06069853477703813,0.011630844083753561,0.001639859418326839
